% time spent exploring,episodes,head,steps,mean 100 episode reward,reward
9,599,2,35281,0.0,0.057000000000000044
9,600,6,35340,0.0,0.035000000000000024
9,601,4,35399,0.0,0.03100000000000002
9,602,1,35458,0.0,0.017000000000000008
9,603,6,35517,0.0,0.03900000000000003
9,604,3,35576,0.0,0.05600000000000004
9,605,0,35635,0.0,0.016000000000000007
9,606,1,35694,0.0,0.03200000000000002
9,607,0,35753,0.0,0.03100000000000002
9,608,7,35812,0.0,0.05600000000000004
9,609,8,35871,0.0,0.03100000000000002
9,610,6,35930,0.0,0.05400000000000004
9,611,8,35989,0.0,0.05400000000000004
9,612,5,36048,0.0,0.05600000000000004
9,613,6,36107,0.0,0.02900000000000002
9,614,7,36166,0.0,0.01800000000000001
9,615,1,36225,0.0,0.04100000000000003
9,616,2,36284,0.0,0.02900000000000002
9,617,5,36343,0.0,0.05600000000000004
9,618,6,36402,0.0,0.017000000000000008
9,619,7,36461,0.0,0.05300000000000004
9,620,9,36520,0.0,0.047000000000000035
9,621,7,36579,0.0,0.05400000000000004
9,622,6,36638,0.0,0.05000000000000004
9,623,0,36697,0.0,0.02900000000000002
9,624,5,36756,0.0,0.05600000000000004
9,625,5,36815,0.0,0.05000000000000004
9,626,0,36874,0.0,0.028000000000000018
9,627,0,36933,0.0,0.03200000000000002
9,628,4,36992,0.0,0.022000000000000013
9,629,2,37051,0.0,0.058000000000000045
9,630,9,37110,0.0,0.057000000000000044
9,631,8,37169,0.0,0.057000000000000044
9,632,7,37228,0.0,0.05000000000000004
9,633,8,37287,0.0,0.05600000000000004
9,634,0,37346,0.0,0.01900000000000001
9,635,3,37405,0.0,0.05300000000000004
9,636,3,37464,0.0,0.05600000000000004
9,637,5,37523,0.0,0.05600000000000004
9,638,7,37582,0.0,0.022000000000000013
9,639,8,37641,0.0,0.05000000000000004
9,640,8,37700,0.0,0.047000000000000035
9,641,5,37759,0.0,0.047000000000000035
9,642,0,37818,0.0,0.01900000000000001
9,643,0,37877,0.0,0.011000000000000003
9,644,5,37936,0.0,0.04200000000000003
9,645,8,37995,0.0,0.05500000000000004
9,646,8,38054,0.0,0.057000000000000044
9,647,3,38113,0.0,0.048000000000000036
9,648,5,38172,0.0,0.05600000000000004
9,649,4,38231,0.0,0.011000000000000003
9,650,1,38290,0.0,0.03300000000000002
